2025-01-01,Food,Grocery shopping,301.50
2025-01-01,Transport,Uber ride,51.00
2025-01-01,Entertainment,Movie tickets,90.00
2025-01-02,Utilities,Electricity bill,240.00
2025-01-02,Food,Lunch at restaurant,120.50
2025-01-03,Transport,Bus ticket,30.00
2025-01-03,Food,Coffee,11.00
2025-01-03,Entertainment,Subscription renewal,21.98
2025-01-04,Utilities,Water bill,60.00
2025-01-04,Entertainment,Concert ticket,300.00
2025-01-05,Food,Snacks,25.00
2025-01-06,Transport,Gas refill,80.00
2025-01-07,Utilities,Internet bill,100.00
2025-01-08,Food,Dinner at restaurant,180.00
2025-01-08,Transport,Train ticket,140.00
2025-01-08,Entertainment,Book purchase,40.00
2025-01-09,Utilities,Phone bill,70.00
2025-01-09,Food,Breakfast,40.00
2025-01-09,Transport,Toll charges,17.00
2025-01-10,Entertainment,Game purchase,120.00
2025-01-11,Food,Grocery shopping,400.00
2025-01-12,Transport,Flight ticket,500.00
2025-01-12,Utilities,Electricity bill,220.00
2025-01-13,Food,Lunch at restaurant,140.50
2025-01-14,Transport,Bus ticket,40.00
2025-01-14,Entertainment,Online course,200.00
2025-01-15,Utilities,Water bill,80.00
2025-01-16,Food,Coffee,12.00
2025-01-17,Transport,Uber ride,70.00
2025-01-17,Entertainment,Subscription renewal,31.98
2025-01-18,Food,Dinner at restaurant,170.00
2025-01-19,Transport,Gas refill,90.00
2025-01-20,Utilities,Internet bill,110.00
2025-01-21,Food,Snacks,36.00
2025-01-21,Entertainment,Streaming service,25.98
2025-01-22,Food,Breakfast,45.00
2025-01-22,Transport,Train ticket,150.00
2025-01-23,Utilities,Phone bill,76.00
2025-01-24,Food,Grocery shopping,350.00
2025-01-25,Transport,Flight ticket,600.00
2025-01-25,Utilities,Electricity bill,190.00
2025-01-26,Food,Lunch at restaurant,160.00
2025-01-27,Transport,Bus ticket,36.00
2025-01-28,Entertainment,Concert ticket,360.00
2025-01-29,Utilities,Water bill,90.00
2025-01-30,Food,Coffee,14.00
2025-01-31,Entertainment,Game purchase,140.00
